"imdb_score","movie_facebook_likes",
7.9,33000,
7.1,0,
6.8,85000,
8.5,164000,
7.1,0,
6.6,24000,
6.2,0,
7.8,29000,
7.5,118000,
7.5,10000,
6.9,197000,
6.1,0,
6.7,0,
7.3,5000,
6.5,48000,
7.2,118000,
6.6,0,
8.1,123000,
6.7,58000,
6.8,40000,
7.5,65000,
7,56000,
6.7,17000,
7.9,83000,
6.1,0,
7.2,0,
7.7,26000,
8.2,72000,
5.9,44000,
7,150000,
7.8,80000,
7.3,0,
7.2,95000,
6.5,24000,
6.8,0,
7.3,44000,
6,0,
5.7,56000,
6.4,60000,
6.7,41000,
6.8,30000,
6.3,10000,
5.6,24000,
8.3,30000,
6.6,0,
7.2,94000,
7,129000,
8,82000,
7.8,92000,
6.3,22000,
7.3,115000,
6.6,23000,
7,83000,
6.3,46000,
6.2,5000,
6.8,20000,
7.2,39000,
7.5,30000,
8.4,16000,
6.2,0,
5.8,13000,
6.8,0,
5.4,44000,
6.6,29000,
6.9,0,
7.3,54000,
9,37000,
8.3,27000,
6.5,0,
7.9,10000,
7.5,42000,
4.8,0,
5.2,0,
6.9,80000,
5.4,2000,
7.9,77000,
6.1,0,
5.8,0,
8.3,118000,
7.8,65000,
7,18000,
6.1,53000,
7,89000,
7.6,45000,
4.5,677,
6.3,35000,
7.8,55000,
6.4,0,
6.5,37000,
7.9,41000,
7.8,40000,
6.6,10000,
5.5,67000,
8.2,33000,
6.4,0,
8.1,96000,
8.6,349000,
8.8,175000,
8.2,0,
7.9,166000,
6.7,14000,
7.8,23000,
7.8,54000,
6.6,38000,
6.1,11000,
5.6,0,
6.4,30000,
6.1,0,
7.3,89000,
6.6,82000,
6.3,11000,
6.1,0,
7.1,8000,
5.5,0,
7.5,0,
7.6,0,
6.4,0,
7.2,11000,
6.7,0,
8,10000,
8.3,15000,
6.7,0,
5.9,2000,
6.7,0,
6.7,0,
7.6,58000,
7.2,0,
7.1,63000,
8.1,191000,
6.7,0,
7,63000,
6.9,0,
5.1,0,
5.8,19000,
6.2,82000,
7.4,47000,
5.8,0,
6.6,29000,
6.2,0,
7.3,20000,
4.2,18000,
6.9,0,
6.4,33000,
5.4,0,
6.7,0,
5.8,24000,
6.9,11000,
7.2,0,
6.9,17000,
6.1,0,
5.5,62000,
6.6,11000,
6.1,2000,
6.3,3000,
7.2,24000,
7.4,35000,
7.3,25000,
6.1,2000,
7.7,0,
6.1,51000,
8,19000,
7.3,5000,
7.9,46000,
5.5,24000,
5,0,
7.7,18000,
6.6,0,
5.7,0,
5.8,42000,
6,0,
6.4,0,
6.9,46000,
6.4,2000,
7.4,0,
5.5,65000,
5.9,0,
6.8,0,
7.5,0,
6.8,27000,
8.1,190000,
6.5,13000,
7.2,26000,
6.7,11000,
8.1,0,
7.6,6000,
7.4,61000,
7.6,82000,
5.5,65000,
6.7,26000,
6.5,0,
6.6,0,
6.7,16000,
6.4,23000,
5.8,71000,
7.4,44000,
7.8,11000,
6.6,0,
4.9,37000,
6.5,0,
7.5,40,
6.2,11000,
7.3,13000,
7.5,16000,
5.6,20000,
8.2,0,
8.1,10000,
6.4,25,
6.7,52000,
6.6,0,
6.4,0,
7.5,0,
7.3,54000,
7.5,39000,
5.8,15000,
7.5,0,
6.6,0,
6.7,31000,
3.7,0,
6,0,
6.4,19000,
6.1,0,
6.4,0,
5.6,0,
8,122000,
5.2,0,
7.1,31000,
4.8,0,
7,97000,
5.4,459,
6.6,61000,
6.7,0,
6.2,60000,
6.1,0,
5.3,0,
6.3,11000,
7,71000,
7.6,10000,
6.7,0,
8.1,0,
6.7,68000,
6.5,13000,
7.3,28000,
5.1,291,
6,0,
6.1,16000,
5.9,62000,
7.8,147000,
5.8,0,
6.3,12000,
4.3,41000,
6.4,3000,
6.1,52000,
6.5,0,
7.1,4000,
6.4,0,
6.5,0,
6.3,27000,
7.5,0,
4.9,0,
5.8,14000,
7.6,0,
6.2,71000,
5.5,31000,
5.4,304,
5.8,12000,
7.1,36000,
5.4,0,
3.7,894,
6.7,123000,
7.2,0,
8.8,21000,
5.8,0,
6.8,0,
3.8,946,
7.1,0,
7.2,0,
5.9,0,
7.1,5000,
8.1,153000,
7.2,0,
6.9,0,
4.4,53,
6.5,0,
8.5,21000,
7.7,0,
7.4,0,
8,0,
5.7,0,
8.5,13000,
7,0,
7.8,0,
7.2,0,
6.4,0,
5.5,0,
6.7,16000,
6.1,0,
8.5,199000,
6.9,0,
7.3,0,
6.7,108000,
6.9,0,
5.1,0,
6.8,11000,
5.8,24000,
6.7,17000,
6,25000,
5.7,2000,
8,14000,
8.2,138000,
5.4,0,
7.2,0,
7.5,124000,
7,16000,
3.3,0,
6,21000,
7.1,0,
5.4,0,
6.1,56000,
5.3,37000,
2.2,881,
7,27000,
3.8,416,
6.9,0,
7.2,33000,
7.3,578,
6.3,0,
7.5,0,
7.6,13000,
6.8,0,
5.2,0,
7.7,10000,
6.2,18000,
7.7,18000,
4.3,0,
6.9,0,
6.6,14000,
7,56000,
6.7,16000,
8.2,11000,
8.9,16000,
8.7,10000,
5.5,16000,
5.7,0,
6.3,37000,
5.9,0,
7.6,47000,
6.6,0,
5.3,66000,
6,701,
8,0,
5.6,1000,
5.9,9000,
7.3,0,
7.9,0,
6.8,18000,
6.6,0,
6.6,0,
7,0,
7,0,
7.3,70000,
5.5,0,
8.5,29000,
7.5,12000,
7,0,
7.8,54000,
7.6,0,
7.6,20000,
6.1,0,
6.8,0,
5,0,
7.1,0,
5.5,0,
5.6,39000,
7.1,11000,
4.9,988,
7.4,15000,
5.7,0,
6.4,0,
5.9,28000,
5.5,0,
6.9,15000,
6.2,0,
7,0,
5.6,0,
7,19000,
6.8,0,
5.4,2000,
6.1,979,
6.7,0,
4.3,41000,
6.9,0,
8,0,
4.4,788,
7.3,0,
6.3,0,
6.7,14000,
7.7,23000,
6.5,0,
7.8,0,
6.4,0,
7.8,0,
5.8,19000,
7.1,28000,
7.1,0,
8.6,59000,
6.8,19000,
4.8,372,
6.2,0,
6.9,19000,
7.3,0,
6.6,0,
6.9,0,
6.2,863,
6.7,49000,
7.6,0,
6.7,0,
6.2,0,
7.3,0,
6,0,
7.1,0,
7.1,10000,
5.5,941,
7.8,0,
5.6,18000,
7.5,36000,
5.4,0,
4.3,374,
4.9,0,
7.1,46000,
6.4,7000,
6.9,0,
4.3,0,
6.1,0,
7,3000,
7.7,12000,
5.9,0,
6.7,0,
6.5,57000,
7.1,0,
7.3,140000,
6.5,56000,
7,0,
6.8,0,
7.2,0,
6.4,0,
6.1,0,
6.7,22000,
6.4,0,
4.4,0,
5.4,14000,
6.5,0,
6.7,0,
8.1,53000,
5.6,0,
6.3,0,
7.3,11000,
6.1,0,
7.7,0,
6.4,19000,
8.8,55000,
6.8,0,
6.6,0,
7.2,0,
6.9,20000,
5.2,0,
4.9,0,
6.3,0,
5.6,0,
5.5,0,
6.7,0,
7.6,82000,
5.7,0,
4.6,0,
7,4000,
5.2,0,
5.1,0,
6.6,0,
7,91,
6.7,16000,
7.6,0,
7.3,607,
5.9,3000,
5.6,0,
6.5,0,
5.9,951,
7,32000,
5.3,0,
5.9,0,
6.3,0,
6.4,257,
6.9,0,
6.3,0,
7.3,0,
5.8,0,
5.2,0,
2.4,0,
5.7,665,
5.8,0,
5.6,0,
6,0,
5.8,964,
6,21000,
5.7,995,
6,941,
7.8,0,
4.2,785,
5.6,20000,
4.4,138,
8.2,29000,
8.5,17000,
5.8,0,
6.5,15000,
7.2,0,
6.7,0,
3.4,0,
5.9,0,
7.8,31000,
5.9,0,
4.1,413,
6.8,36000,
5.8,0,
7.5,56000,
6.9,16000,
6.5,0,
6.9,0,
7.9,17000,
7.4,0,
6.7,0,
7.4,51000,
6.9,0,
6.8,11000,
6.7,0,
5.1,893,
4.1,509,
7.3,105000,
6,12000,
7.3,16000,
7.5,10000,
5.4,1000,
5.9,0,
7.1,0,
6,0,
6.5,0,
8.3,0,
5.7,0,
7.6,0,
6.6,0,
5.4,0,
7.3,43000,
6.5,0,
6.6,0,
6.6,0,
5.9,0,
6.7,0,
6.1,30000,
6.6,0,
6.6,0,
5.3,648,
6,0,
6,0,
4.7,683,
6.1,1000,
7.2,0,
6.4,70000,
6.1,42000,
5.9,880,
6,0,
6.3,14000,
5.6,0,
6.4,0,
7.1,0,
6.6,0,
4.6,266,
8.4,17000,
7.1,0,
7.4,0,
6.9,0,
4.5,886,
7.1,2000,
6.5,0,
5.3,694,
6.7,0,
7.2,0,
7.2,0,
5.5,0,
5.8,10000,
6,16000,
6.6,1000,
8.3,42000,
6.7,13000,
6,21000,
7.1,0,
6,0,
7.5,14000,
6.9,0,
5.6,0,
5.6,0,
4.5,2000,
7.1,5000,
6.5,45000,
6.4,1000,
5.8,25000,
8,26000,
6.2,0,
7.2,28000,
6.1,34000,
7.6,0,
6.3,13000,
6.3,37000,
6.3,0,
7.7,15000,
7,0,
5.3,0,
5.6,792,
5.2,0,
5.4,531,
6.4,24000,
5.9,33000,
6.3,997,
6.5,17000,
3,584,
3.6,391,
5.8,815,
6.2,2000,
5.6,5000,
5.4,11000,
6.1,0,
4.2,764,
6.7,34000,
4.2,12000,
6.4,0,
4.9,29000,
6.8,0,
7.7,31000,
5.6,617,
6.4,30000,
7.2,29000,
6,0,
5.9,10000,
7.9,0,
6.8,12000,
7.1,0,
5.9,0,
5.9,98000,
6.2,0,
7.4,0,
7,0,
5.4,0,
8.6,22000,
6.5,32000,
6.4,0,
7.6,3000,
5.5,4000,
7.4,71000,
8.7,25000,
7.6,5000,
7.5,0,
5.5,1000,
7.6,144000,
6.5,0,
6.9,0,
6.7,0,
6.6,25000,
7.2,35000,
6.4,0,
6.4,0,
6,0,
6.1,0,
6,0,
6.4,0,
6.4,59000,
7.3,10000,
5.2,16000,
6.6,23000,
6.3,18000,
5.9,0,
6.4,0,
6.7,688,
5.4,32000,
6.4,0,
6.7,4000,
6.2,892,
6.1,0,
8.8,48000,
7.1,0,
8.1,0,
5.7,0,
5,177,
5.1,15000,
6.9,0,
4.8,0,
6.5,32000,
5.1,295,
7.1,40000,
7.5,26000,
6.2,0,
6.3,0,
8.1,19000,
6.6,0,
6.9,0,
6.1,0,
4.3,0,
6.6,0,
6.8,0,
3.8,0,
5.9,0,
7.9,114000,
6.3,0,
5.5,0,
7.7,13000,
6.3,0,
7.1,11000,
8.5,30000,
5.9,0,
5.8,912,
8.1,146000,
7.9,0,
7.2,0,
6.3,885,
8.1,18000,
7,0,
5.5,886,
6.7,22000,
5.2,0,
7,0,
6.1,0,
6.6,0,
5.5,0,
5.9,0,
5.4,781,
6.4,24000,
5.7,26000,
6.7,0,
7.1,32000,
6.8,0,
6.5,0,
7.6,0,
5.5,0,
6.5,0,
7,38000,
5.8,0,
7.3,0,
6.6,42000,
4.4,858,
7.7,10000,
